epoch,sat,elev_deg,raw_L1_minus_P1,corrected_L1_minus_P1,range_100,code_bias,phase_bias
600,E03,-1.0,-7.402313090860844,-6.5100437961518764,3.8056764863431454,0.8801007189506002,-0.012168575870220001
600,E05,-1.0,-15.282293498516083,-14.286559831351042,5.905055612325668,0.9770835791136,-0.018650088812180003
600,E25,-1.0,-16.364265270531178,-15.56994416937232,7.886474661529064,0.9357721784012,0.14145107545814
900,E02,-1.0,-19.59957029297948,-19.899962335824966,1.4884880408644676,-0.39506650115240005,-0.09467445823640001
900,E03,-1.0,-15.117201160639524,-14.224931865930557,4.233794562518597,0.8801007189506002,-0.012168575870220001
900,E25,-1.0,-30.561758134514093,-29.767437033355236,2.278303448110819,0.9357721784012,0.14145107545814
900,E34,-1.0,15.28947014734149,16.41407559812069,7.290032051503658,1.0977200642128,-0.026885387633440002
1200,E02,-1.0,-12.692664116621017,-12.993056159466505,1.2666185051202774,-0.39506650115240005,-0.09467445823640001
1200,E14,-1.0,-7.764262828975916,-8.502519745379686,4.220169693231583,-0.5388769432550001,0.19937997211748
1200,E30,-1.0,16.236571744084358,17.09234730154276,8.054419171065092,0.5388769432550001,-0.3168986156534801
1200,E34,-1.0,15.412756249308586,16.537361700087786,3.145429465919733,1.0977200642128,-0.026885387633440002
1500,E02,-1.0,-24.093370214104652,-24.39376225695014,7.10637903958559,-0.39506650115240005,-0.09467445823640001
1500,E13,-1.0,11.900982677936554,13.240785155445337,4.793685983866453,1.4821439331062003,0.1423414590584
1500,E30,-1.0,26.53659163042903,27.39236718788743,1.3273554258048534,0.5388769432550001,-0.3168986156534801
1500,E34,-1.0,-4.102315116673708,-2.9777096658945084,5.9260281175374985,1.0977200642128,-0.026885387633440002
1800,E07,-1.0,17.977572411298752,19.322783138602972,3.329317092895508,1.5489676719944003,0.20375694200428004
1800,E13,-1.0,39.088670022785664,40.42847250029445,3.506400879472494,1.4821439331062003,0.1423414590584
1800,E18,-1.0,10.383013688027859,9.918179485946894,14.31666475534439,-0.5620808795042,-0.09724667752604
1800,E26,-1.0,9.925243753939867,8.278276924043894,8.143674150109291,-1.364505372587,0.28246145600302003
1800,E29,-1.0,8.753846623003483,8.169032480567694,4.291408438235521,-0.7140456764644001,-0.12923153487006
2100,E07,-1.0,19.574047561734915,20.919258289039135,1.3783534802496433,1.5489676719944003,0.20375694200428004
2100,E13,-1.0,39.77389471977949,41.113697197288275,0.916148915886879,1.4821439331062003,0.1423414590584
2100,E18,-1.0,12.744123250246048,12.279289048165083,2.165109984576702,-0.5620808795042,-0.09724667752604
2100,E26,-1.0,13.418934743851423,11.77196791395545,0.9476984702050686,-1.364505372587,0.28246145600302003
2100,E29,-1.0,14.999585561454296,14.414771419018507,1.2223875671625137,-0.7140456764644001,-0.12923153487006
2100,E33,-1.0,3.6481248885393143,2.6030963473021984,0.9361638315021992,-1.0408194556844002,0.0042090861103200004
0,E04,-1.0,27.14201397076249,26.15845187753439,0.0,-0.9850580584964002,-0.00149596436542
0,E09,-1.0,19.886189803481102,20.32814984023571,0.0,0.4257952280974,-0.016164809335360002
0,E16,-1.0,6.7238886542618275,5.96756924316287,0.0,-0.843016391896,-0.08669698092902
0,G01,-1.0,0.017514247447252274,-1.919267948716879,0.0,-1.8757414512144,0.06104074237338001
0,G03,-1.0,2.475403308868408,4.881162837147713,0.0,2.2467046387436,-0.1590548885919
0,G04,-1.0,3.791361391544342,3.1613445430994034,0.0,-0.2790168406606,0.35100000775098
0,G08,-1.0,0.7342910766601562,4.68675484508276,0.0,3.6075825225888,-0.3448812436832
0,G16,-1.0,7.349640931934118,6.902215678244829,0.0,-0.7364701523228,-0.2890448983807
0,G26,-1.0,8.466327276080847,12.02586805447936,0.0,3.9169683392448005,0.3574275580505
0,G27,-1.0,3.3470191098749638,5.737498216331005,0.0,2.6036675184842,0.21318841273296002
0,G31,-1.0,14.667998366057873,12.246727578341961,0.0,-2.409581881175,0.01168890793742
300,E02,-1.0,-3.2660464756190777,-3.5664385184645653,2.5278534926474094,-0.39506650115240005,-0.09467445823640001
300,E03,-1.0,0.12116939201951027,1.0134386867284775,0.0,0.8801007189506002,-0.012168575870220001
300,E05,-1.0,-2.599030066281557,-1.6032963991165161,3.4370516389608383,0.9770835791136,-0.018650088812180003
300,E09,-1.0,10.99284403398633,11.434804070740938,4.905916314572096,0.4257952280974,-0.016164809335360002
300,E16,-1.0,0.9555478803813457,0.1992284692823887,4.126842152327299,-0.843016391896,-0.08669698092902
300,E25,-1.0,-1.6370206214487553,-0.8426995202898979,3.5298256911337376,0.9357721784012,0.14145107545814
300,G03,-1.0,-8.944032043218613,-6.538272514939308,8.179155554622412,2.2467046387436,-0.1590548885919
300,G04,-1.0,-1.0349835865199566,-1.6650004349648952,3.482631716877222,-0.2790168406606,0.35100000775098
300,G07,-1.0,-6.86013000831008,-8.308838088065386,5.861826993525028,-1.3612376347948,0.08747044547066
300,G08,-1.0,-6.336750492453575,-2.3842867240309715,3.3932404033839703,3.6075825225888,-0.3448812436832
300,G09,-1.0,-3.8335037380456924,-1.6115199849009514,3.294603455811739,2.3388608403328,0.11687708767588
300,G14,-1.0,-1.9820400401949883,-3.160560168325901,2.659702006727457,-1.3599485272254,-0.18142839973244002
300,G27,-1.0,-5.11654507368803,-2.726065967231989,6.199346147477627,2.6036675184842,0.21318841273296002
600,E02,-1.0,-13.445008385926485,-13.745400428771973,4.610355403274298,-0.39506650115240005,-0.09467445823640001
600,E03,-1.0,-7.465936154127121,-6.573666859418154,3.8056764863431454,0.8801007189506002,-0.012168575870220001
600,E05,-1.0,-15.270860567688942,-14.275126900523901,5.952616091817617,0.9770835791136,-0.018650088812180003
600,E25,-1.0,-16.336438477039337,-15.54211737588048,8.123509235680103,0.9357721784012,0.14145107545814
600,G01,-1.0,1.2629849091172218,-0.6737972870469093,3.773896101862192,-1.8757414512144,0.06104074237338001
600,G02,-1.0,-5.799979321658611,-8.327892284840345,7.413701836019754,-2.7519748474568004,-0.22406188518462
600,G07,-1.0,-17.455214899033308,-18.903922978788614,5.081403102725744,-1.3612376347948,0.08747044547066
600,G09,-1.0,-20.014101661741734,-17.792117908596992,8.462450444698334,2.3388608403328,0.11687708767588
600,G14,-1.0,-12.922828488051891,-14.101348616182804,5.102802496403456,-1.3599485272254,-0.18142839973244002
600,G17,-1.0,4.877907425165176,3.3972384706139565,2.4589928202331066,-1.6003820785414002,-0.11971312432856
600,G19,-1.0,3.1262624338269234,1.2597306072711945,3.3909422755241394,-2.0151449441844003,-0.14861311727976
600,G22,-1.0,-5.408054269850254,-6.751346327364445,3.833643391728401,-1.0505327313236001,0.29275932693532003
600,G30,-1.0,-12.020281095057726,-8.870844401419163,3.8306134305894375,3.3327627763402004,0.18332608599157998
900,E02,-1.0,-19.448768004775047,-19.749160047620535,1.4884880408644676,-0.39506650115240005,-0.09467445823640001
900,E03,-1.0,-14.652584914118052,-13.760315619409084,3.894145756959915,0.8801007189506002,-0.012168575870220001
900,E25,-1.0,-30.588192488998175,-29.793871387839317,2.278303448110819,0.9357721784012,0.14145107545814
900,E34,-1.0,15.470549438148737,16.595154888927937,7.290032051503658,1.0977200642128,-0.026885387633440002
900,G06,-1.0,13.433119714260101,16.701055370271206,6.736437268555164,2.9756799796164004,-0.29225567560588
900,G07,-1.0,-25.17282347753644,-26.621531557291746,6.706188283860683,-1.3612376347948,0.08747044547066
900,G11,-1.0,6.895239572972059,5.420095793902874,3.6894010081887245,-1.5717219195566001,-0.09657814034470001
900,G13,-1.0,2.490190953016281,0.7631675451993942,1.4955440312623978,-1.5315797094303998,0.19544369714394003
900,G14,-1.0,-17.599027454853058,-18.77754758298397,2.439574532210827,-1.3599485272254,-0.18142839973244002
900,G17,-1.0,-0.7389278747141361,-2.219596829265356,4.777056954801083,-1.6003820785414002,-0.11971312432856
900,G19,-1.0,8.151094321161509,6.28456249460578,1.7327118776738644,-2.0151449441844003,-0.14861311727976
900,G22,-1.0,-9.146408665925264,-10.489700723439455,2.257268227636814,-1.0505327313236001,0.29275932693532003
900,G30,-1.0,-10.174302905797958,-7.024866212159395,1.016697820276022,3.3327627763402004,0.18332608599157998
